Course;ECTS;Grade;GradeXECTS;Major
Political Economy;6;7;42;Economics
Business economics I ;6;8;48;Economics
Financial accounting A ;6;6;36;Finance
Mathematics 1;6;8;48;Science
Informatics 1;6;9;54;Informatics
Macroeconomics A ;4.5;7.5;33.75;Economics
Microeconomics A;6;7.5;45;Economics
Law for economics I ;6;8;48;Economics
Mathematics II;6;8.5;51;Science
Statistics I;7.5;6.5;48.75;Science
Macroeconomics B;4.5;6.5;29.25;Economics
Microeconomics B;3;7;21;Economics
Business economics II ;4.5;10;45;Economics
Statistics II ;6;8;48;Science
Informatica II;6;8;48;Informatics
Monetary Economics A;6;7;42;Economics
English for economists;6;7.5;45;Economics
Public economics A;6;6.5;39;Economics
Organizational Economics;6;6;36;Economics
Introduction to econometrics;6;7;42;Finance
Theory of financial markets ;6;8;48;Finance
International economics ;6;6.5;39;Economics
Finance theory;6;8;48;Finance
Econometrics;6;6.5;39;Finance
Corporate Finance;6;8;48;Finance
Business Strategy;6;8.5;51;Economics
Financial Statement Analysis;6;7.5;45;Finance
management delle  pubbliche;6;8.5;51;Economics
Marketing;6;7;42;Economics
Quantitative methods for finance;6;9;54;Finance
Statistics;6;6.5;39;Science
Econometrics;6;8;48;Finance
Accaunting;3;6;18;Finance
Investments;6;9;54;Finance
Programming 1;3;7;21;Informatics
arbitrage;6;6;36;Finance
Blockchain;3;9;27;Informatics
ML;6;7;42;Informatics
derivatives;6;7.5;45;Finance
FI;3;7.5;22.5;Finance
Programming 2;3;6.5;19.5;Informatics
RM;6;7;42;Finance
Trading;3;9.5;28.5;Finance
;;;;
;;;;
Semestre;;;;
1;30;7.6;;
2;30;7.55;;
3;24;7.97;;
4;36;7;;
5;30;7.5;;
6;24;8;;
7;30;7.2;;
8;30;7.55;;
9;;;;
