Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,641.872033785411,637.16504385598,613.856332882312
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4247.61434236292,4413.08288688408,4578.66793446159
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5592.22190972612,5499.58776363606,5493.05677189389
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11568.7930012395,11505.3937142139,11525.1563872309
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,38392.9439012206,40626.7516320228,42300.3341276669
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,5100.09580809767,5254.88233799616,5408.41049555432
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13399.2379486965,13035.0936407801,13780.7823704952
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,13082.664325572,13080.2547323367,12334.7982453893
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3681.8574560431,3838.18580148382,3986.23162376713
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,24713.6980451285,25025.0995629083,25533.5697803984
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,68012.1479005934,68150.1070413215,62510.7911705641
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,48567.69528642,50716.7087062864,51717.4959405515
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7496.29464768263,7875.75695254288,7891.31314749986
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,29485.6209294138,28944.7882168381,29563.746347465
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23654.3513912828,24744.3576319157,24989.4001204704
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,883.105000541313,981.839879150399,1118.8536634927
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16412.9362002115,16224.2873624673,16179.5839550601
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6940.15925359735,7978.87261471076,8318.51268992675
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,44826.4396116648,46680.3898229483,47355.3120057387
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4626.70961538462,4652.50900308057,4790.94126203427
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,837.942920903364,915.315621163215,943.674649189169
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,85458.455507886,85748.0654143782,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2599.39609371453,2532.0156424178,2749.35266478192
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,2609.88081915425,2908.20008548078,3081.87883446506
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4778.63608845506,5131.39450642932,5329.63504488766
